model,month,count,baseline_avg6,signal
ELANTRA TOURING,2022-07,0,0.3333333333333333,False
ELANTRA TOURING,2022-08,1,0.16666666666666666,False
ELANTRA TOURING,2022-09,0,0.16666666666666666,False
ELANTRA TOURING,2022-10,0,0.16666666666666666,False
ELANTRA TOURING,2022-11,0,0.16666666666666666,False
ELANTRA TOURING,2022-12,0,0.16666666666666666,False
ELANTRA TOURING,2023-01,0,0.16666666666666666,False
ELANTRA TOURING,2023-02,0,0.16666666666666666,False
ELANTRA TOURING,2023-03,0,0.0,False
ELANTRA TOURING,2023-04,0,0.0,False
ELANTRA TOURING,2023-05,0,0.0,False
ELANTRA TOURING,2023-06,0,0.0,False
ELANTRA TOURING,2023-07,0,0.0,False
ELANTRA TOURING,2023-08,0,0.0,False
ELANTRA TOURING,2023-09,0,0.0,False
ELANTRA TOURING,2023-10,0,0.0,False
ELANTRA TOURING,2023-11,2,0.0,False
ELANTRA TOURING,2023-12,0,0.3333333333333333,False
ELANTRA TOURING,2024-01,0,0.3333333333333333,False
ELANTRA TOURING,2024-02,0,0.3333333333333333,False
ELANTRA TOURING,2024-03,0,0.3333333333333333,False
ELANTRA TOURING,2024-04,0,0.3333333333333333,False
ELANTRA TOURING,2024-05,0,0.3333333333333333,False
ELANTRA TOURING,2024-06,0,0.0,False
ELANTRA TOURING,2024-07,0,0.0,False
ELANTRA TOURING,2024-08,0,0.0,False
ELANTRA TOURING,2024-09,0,0.0,False
ELANTRA TOURING,2024-10,0,0.0,False
ELANTRA TOURING,2024-11,0,0.0,False
ELANTRA TOURING,2024-12,0,0.0,False
ELANTRA TOURING,2025-01,0,0.0,False
ELANTRA TOURING,2025-02,0,0.0,False
ELANTRA TOURING,2025-03,0,0.0,False
ELANTRA TOURING,2025-04,0,0.0,False
ELANTRA TOURING,2025-05,0,0.0,False
ELANTRA TOURING,2025-06,1,0.0,False
ELANTRA TOURING,2025-07,0,0.16666666666666666,False
ELANTRA TOURING,2025-08,0,0.16666666666666666,False
ELANTRA TOURING,2025-09,0,0.16666666666666666,False
ELANTRA TOURING,2025-10,0,0.16666666666666666,False
ELANTRA TOURING,2025-11,0,0.16666666666666666,False
ELANTRA TOURING,2025-12,0,0.16666666666666666,False
ELANTRA TOURING,2026-01,0,0.0,False
ELANTRA TOURING,2026-02,0,0.0,False
ELANTRA TOURING,2026-03,0,0.0,False
ELANTRA TOURING,2026-04,0,0.0,False
ELANTRA TOURING,2026-05,0,0.0,False
ELANTRA TOURING,2026-06,0,0.0,False
ENTOURAGE,2022-07,0,0.0,False
ENTOURAGE,2022-08,0,0.0,False
ENTOURAGE,2022-09,0,0.0,False
ENTOURAGE,2022-10,0,0.0,False
ENTOURAGE,2022-11,0,0.0,False
ENTOURAGE,2022-12,0,0.0,False
ENTOURAGE,2023-01,0,0.0,False
ENTOURAGE,2023-02,0,0.0,False
ENTOURAGE,2023-03,0,0.0,False
ENTOURAGE,2023-04,1,0.0,False
ENTOURAGE,2023-05,0,0.16666666666666666,False
ENTOURAGE,2023-06,0,0.16666666666666666,False
